date,Open,High,Low,Close,Volume,ret_lag1,ret_lag2,ret_lag3,ret_lag5,ret_lag10,RSI_14,MACD_hist,BB_width,BB_pos,ATR_pct,SMA_cross_10_50,SMA_cross_50_200,MOM_10,MOM_20,MOM_60,vol_norm,vol_ratio,OBV_norm,VWAP_dist,vol_real_5,vol_real_21,vol_ratio_regime,skew_21,VIX_norm,VIX_change,drawdown_252,fwd_return,target,ticker
2016-02-02,162.25042109159733,162.25886875197457,160.20495232745785,160.72900390625,182564900,-0.018021689867633084,-0.018377026363990856,0.005552451979748296,-0.00020995187052685882,0.011167295946205913,45.171180961522346,0.6290480630669704,0.08268724130559756,0.4341592906712687,0.023626627504303915,-0.0510600428586373,-0.014338821701113114,0.011167295946205913,-0.054024121920773105,-0.09064573902921169,-0.1508874647947494,0.9585411873531509,-2.0216109783084457,-0.005370491933486678,0.25899473703832876,0.23421633625572733,1.1057927942522678,0.2670717323736132,0.5766761416744932,0.11734952353324513,-0.09550633868983638,-0.024874078372162933,0,SPY
2016-02-03,161.78551123572566,162.09824227403948,158.14257123728788,161.69253540039062,205054900,0.00599475807554084,-0.012134967462961166,-0.012492434115650042,0.01685016483408397,0.030433663489765506,53.79433087990915,0.6515049661424506,0.06607918005870812,0.5477756658258848,0.022813742481227767,-0.04670269085374179,-0.015549674929225876,0.030433663489765506,-0.049960215834142785,-0.08428004640178755,0.2020393759879554,1.0506387582417835,-1.9513054991636445,0.003490248547001148,0.24115318558202437,0.2328561203018286,1.035631724714291,0.09198947507140877,0.5652662352830593,0.10406245076998477,-0.09008411800942173,-0.031520998742814,0,SPY
2016-02-04,161.1938516205683,162.9181154950131,160.55992899218302,161.94610595703125,139531800,0.0015682267336134537,0.0075723859490297585,-0.010585771109734687,0.013166883238132199,0.026300615289135854,49.44545547500127,0.6721310173799311,0.05299054014596935,0.6252252735327334,0.021730453364259883,-0.04265914655669001,-0.016819688760000062,0.026300615289135854,-0.036314122388732994,-0.08236352196787988,-1.1096092766134797,0.7172300196856617,-1.907172405963804,0.0070158022648132605,0.2408549900778667,0.23283018838921687,1.03446632775896,0.0932495262824618,0.5623631835701468,0.09141302508661897,-0.08865716359794473,-0.04561597241197368,0,SPY
2016-02-05,161.4305301323109,162.00528051180856,158.2271002615545,158.86102294921875,180788300,-0.019050059830589938,-0.017511707910079832,-0.011621928286949412,-0.029785378168410648,-0.01348920744012827,50.23910287428451,0.4759312811394172,0.050843097816019894,0.28451595804522495,0.02141519906385309,-0.042036593310883275,-0.01831458044772194,-0.01348920744012827,-0.031434714719721146,-0.09136596955171705,-0.24508903495260867,0.9371628937025731,-1.9688479597204986,-0.010585344128841665,0.18576611089317072,0.23745760287057285,0.7823127521260793,0.09602923555274812,0.5904002511651827,0.033787113955647374,-0.10601829915758343,-0.0070232624437187585,0,SPY
2016-02-08,157.0184003932227,157.31422319199183,154.5080659467813,156.72256469726562,191526700,-0.01346118898300619,-0.03225481235807903,-0.030737168483493282,-0.042499141407003616,-0.01183121746963589,45.81757901324462,0.2134410930698496,0.054394484351806625,0.0845535014496752,0.022185095687259425,-0.040963421275835854,-0.020014628413556834,-0.01183121746963589,-0.03386823320124199,-0.10566014899322251,-0.009513272386809511,0.9975572629375883,-2.034671325126172,-0.021757473961761795,0.18410370523840572,0.22810364994242904,0.8071054768486212,0.15167214806484292,0.5250708487942641,-0.005752254595837947,-0.11805235577997253,0.023514234780162013,1,SPY
2016-02-09,154.98139838987723,158.00732382709526,154.84615847267247,156.73101806640625,184513100,5.393843035284007e-05,-0.013407976628057927,-0.03220261370167621,-0.024874078372162933,-0.025078807883407994,49.622753995146965,0.059685912111799855,0.05666362981876377,0.13254510616310028,0.020912757213806962,-0.04117841842635894,-0.02170119065361875,-0.025078807883407994,-0.03477172355265201,-0.1020815068385974,-0.14824032069245927,0.961886030228133,-1.9762734855988748,-0.020001097472657336,0.16996888799838075,0.22586372376471903,0.7525284941294226,0.04752206467528387,0.5070852300607076,-0.035661955201487516,-0.11800478490839006,0.04017680336433038,1,SPY
2016-02-10,157.55938724544134,159.19067557444905,156.46903290883773,156.5958251953125,148214100,-0.0008625789123405392,-0.0008086870081404074,-0.014258990102501978,-0.031520998742814,-0.015201967933281435,47.48955163196399,-0.027159376016586467,0.055727996321293494,0.15019476139077262,0.020541421516025327,-0.04038774081080043,-0.023446172719403968,-0.015201967933281435,-0.04332295772874095,-0.09015475854533828,-0.8462258954734491,0.7775432458759963,-2.0225857017502333,-0.01906478900402526,0.14757339457848198,0.22569332777878842,0.6538668908180494,0.06789915225119662,0.5030290274329847,-0.030760593768184963,-0.11876557538171328,0.03681061759402815,1,SPY
2016-02-11,154.11925359153506,155.60686682417594,153.0627159648016,154.55877685546875,219058900,-0.01300831830799487,-0.013859676519277997,-0.013806485658121925,-0.04561597241197368,-0.03304970935638374,35.7408915894554,-0.18882433729340997,0.06286067127520419,0.011340380407298043,0.020855133663325035,-0.04116484140818055,-0.02527201880533325,-0.03304970935638374,-0.03161534919792397,-0.09179256121200197,0.5704115374571452,1.1498372302378477,-2.0920181020556106,-0.02976860974730098,0.13395185943571286,0.2260927327282463,0.5924642413759967,0.25597444686913984,0.5026355982022688,-0.028937208304396167,-0.13022895328111073,0.04998349320832407,1,SPY
2016-02-12,156.33376755034035,157.7621956092723,155.48853743639367,157.74530029296875,127632400,0.020616903823454713,0.00734039426799904,0.00647148368635464,-0.0070232624437187585,-0.03659945008426735,48.18017938023211,-0.05512355931901869,0.06141721467055864,0.347887622149274,0.020694112041584046,-0.042548400347741766,-0.027034101273389566,-0.03659945008426735,-0.027614059513466294,-0.08695264719803075,-1.134111164333201,0.6904467536021041,-2.045263736600475,-0.008396629839286518,0.21987041473415683,0.22452702318933795,0.9792603648016998,0.2108846661380281,0.48935571320088056,-0.054454266887730585,-0.11229696726248184,0.0436690050953783,1,SPY
2016-02-16,159.55409807548358,160.43313175148,158.5905362261157,160.40777587890625,120250700,0.016878319550520215,0.03784320206484959,0.024342607338601274,0.023514234780162013,-0.01998424141584132,49.25903276479161,0.22338005424796492,0.06165513815981132,0.6111324300681541,0.020459783114719094,-0.04281149475034696,-0.02839966056380938,-0.01998424141584132,0.010489303455806676,-0.07086428357981134,-1.3493437935996349,0.6886223978671556,-2.0086638805726205,0.00788210996590048,0.2199300703485114,0.22496912306558492,0.9776011358973711,0.21237072859330633,0.4893079825141182,-0.013741677862827872,-0.097314031809972,0.01338361133296373,1,SPY
